input_cards,prediction_text,directions
"The Fool, The Lovers, The Magician","새로운 시작과 설레는 인연이 곧 다가올 것입니다. 주저하지 말고 자신의 열정을 믿고 행동에 옮기세요. 당신 안의 가능성은 지금 깨어나고 있으며, 사랑과 창조의 힘이 함께합니다.","forward, forward, forward"
"Death, The Tower, The Sun",지금은 큰 변화와 혼란이 예고되는 시기입니다. 하지만 모든 끝은 새로운 시작을 위한 자리를 마련하기 위한 것. 어둠이 지나면 찬란한 빛이 당신을 비출 것입니다.,"forward, forward, forward"
"Justice, The Devil, The Empress","당신은 지금 유혹과 욕망 사이에서 중요한 결정을 내려야 할 순간에 있습니다. 내면의 균형을 되찾고 진실에 집중한다면, 결과는 풍요로움과 성장을 동반하게 될 것입니다.","forward, forward, forward"
"The Chariot, Strength, The High Priestess",지금의 상황은 당신의 인내심과 내면의 힘을 시험하고 있습니다. 겉으로 보이는 승리보다 중요한 것은 내면의 통찰입니다. 침착하게 본질을 바라본다면 진정한 승리를 얻게 될 것입니다.,"forward, forward, forward"
"The Hermit, The Moon, The Star","혼란스럽고 불확실한 시간 속에서도 조용한 성찰이 필요합니다. 내면의 목소리에 귀 기울이고, 희망의 불씨를 간직하세요. 어두운 터널 끝에서 별처럼 빛나는 깨달음이 기다립니다.","forward, forward, forward"
"The Hanged Man, Death, The World",모든 것을 내려놓고 관점을 바꾸는 시간이 다가오고 있습니다. 고통스러울 수 있으나 이는 성장과 완성으로 가는 과정입니다. 당신은 곧 새로운 세계로 나아가게 될 것입니다.,"forward, forward, forward"
"The Emperor, The Hierophant, Justice","전통과 권위, 그리고 정의가 중요한 키워드가 됩니다. 당신의 결정은 단호하고 책임감 있게 이루어져야 합니다. 올바른 길을 따른다면 신뢰와 명예를 얻게 될 것입니다.","forward, forward, forward"
"The Empress, The Lovers, Temperance","감정의 풍요로움과 관계 속 조화가 중심이 되는 시기입니다. 사랑이 당신의 삶에 큰 영감을 줄 수 있으나, 균형을 잃지 않는 것이 중요합니다. 조율과 이해가 아름다운 결실을 만들어냅니다.","forward, forward, forward"
"The Fool, The Tower, The Moon",충동적인 선택이나 준비되지 않은 도전은 예상치 못한 결과를 가져올 수 있습니다. 감정의 혼란 속에서도 직관을 신뢰하세요. 위기는 곧 진실을 마주할 기회입니다.,"forward, forward, forward"
"Temperance, The Star, The Sun","당신의 조화로운 마음가짐은 주변 사람들에게 긍정적인 영향을 주고 있습니다. 희망과 성실함을 잃지 않는다면, 곧 환한 빛이 당신의 길을 비춰줄 것입니다. 기회는 이미 시작되었습니다.","forward, forward, forward"
"The Star, Judgment, The World","당신은 이제 오래도록 기다려온 희망의 결실을 앞두고 있습니다. 과거의 선택과 행동이 평가받는 시간이 왔고, 그 결과로 인생의 중요한 단계가 마무리되려 합니다. 두려워하지 말고 스스로를 믿고 받아들이세요.","forward, forward, forward"
"The Hierophant, The Moon, The Lovers","혼란스러운 감정의 흐름 속에서 전통이나 신념이 중요한 지침이 될 수 있습니다. 관계에 있어 감춰진 진실이 드러날 수 있으니, 직관을 따르되 깊은 이해와 인내가 필요합니다. 현명한 판단이 더 큰 조화를 이끌 것입니다.","forward, forward, forward"
"The Devil, The Hanged Man, Strength","집착이나 유혹에 얽매여 있었다면, 지금은 그 고리를 끊고 내면의 힘으로 극복해야 할 때입니다. 모든 걸 제자리에 두기 위해서는 인내와 희생이 필요합니다. 그 과정이 당신을 진정으로 강하게 만들 것입니다.","forward, forward, forward"
"The Chariot, Wheel of Fortune, Death","상황이 빠르게 움직이며 예기치 못한 변화가 연이어 닥칠 수 있습니다. 지나간 것에 집착하지 말고, 흐름을 받아들이세요. 방향을 잃지 않고 중심을 지킬 수 있다면, 큰 전환점이 새로운 가능성으로 이어질 것입니다.","forward, forward, forward"
"The High Priestess, Temperance, Justice","침묵과 균형의 에너지가 당신을 둘러싸고 있습니다. 모든 것을 말로 해결하려 하지 말고, 내면의 목소리에 귀 기울이세요. 결국 정의는 드러나고, 조화로운 결과가 따라올 것입니다.","forward, forward, forward"
"The Magician, The Emperor, The Fool","당신에게는 지금 모든 것을 새롭게 시작할 수 있는 힘과 능력이 있습니다. 단, 무작정 뛰어들기보다는 확고한 계획과 의지가 필요합니다. 창조와 통제가 조화를 이룰 때 진정한 기회가 현실이 됩니다.","forward, forward, forward"
"The Hermit, The Empress, Judgment",혼자만의 성찰을 통해 당신은 새로운 생명력과 아이디어를 얻게 될 것입니다. 이 시기는 결과를 받아들이고 내면을 정리할 수 있는 기회입니다. 진실된 마음으로 바라본다면 놀라운 성장으로 이어질 것입니다.,"forward, forward, forward"
"The Tower, The Sun, Justice","갑작스러운 진실의 폭로나 충격적인 사건이 있을 수 있습니다. 하지만 그것이 오히려 해방을 부르고, 진정한 기쁨과 균형을 회복하는 계기가 될 것입니다. 공정한 마음으로 받아들이는 것이 중요합니다.","forward, forward, forward"
"Strength, The Lovers, Wheel of Fortune","사랑이나 관계에서 감정적인 선택을 앞두고 있지만, 강인한 의지와 자기 존중이 우선되어야 합니다. 운명의 수레바퀴가 돌아가고 있으니, 지금의 결정은 앞으로 큰 변화를 이끌 수 있습니다.","forward, forward, forward"
"The Fool, Judgment, The Hermit","새로운 시작을 앞두고 과거의 모든 경험이 당신에게 다시 돌아옵니다. 가볍게 시작하되, 성찰과 배움을 잊지 마세요. 결국 모든 여정은 자신과의 조용한 대화에서 완성됩니다.","forward, forward, forward"
"The Moon, The Empress, The Chariot","감정이 흔들리는 시기지만, 당신 안에는 이미 방향을 잡을 수 있는 힘이 존재합니다. 불확실한 마음을 인정하고, 그 위에 균형과 창조의 에너지를 더하세요. 결국 스스로의 통제력으로 원하는 길을 이끌어갈 수 있을 것입니다.","forward, forward, forward"
"The Star, The Hierophant, The Magician","희망과 전통적 가치가 조화를 이루며 새로운 창조의 기회를 열어줍니다. 지금은 지혜롭고 체계적인 접근이 필요할 때입니다. 당신의 잠재력은 이미 준비되어 있으며, 신중하게 활용한다면 원하는 성과를 얻을 수 있습니다.","forward, forward, forward"
"Temperance, The Hermit, Death","균형과 성찰의 시간이 지나면, 필연적인 변화가 찾아옵니다. 지금은 과거를 되돌아보고 놓아주는 법을 배울 때입니다. 비워야 채워지는 법, 새로운 시작을 위한 자연스러운 이행이 준비되고 있습니다.","forward, forward, forward"
"The Sun, The Lovers, Judgment","사랑과 기쁨이 중심에 있는 시기입니다. 당신의 진심이 드러날 때, 그동안의 선택과 감정이 평가받게 됩니다. 열린 마음과 책임감 있는 결정이 당신을 성숙한 관계로 이끌어줄 것입니다.","forward, forward, forward"
"The World, The Devil, The High Priestess","당신은 겉보기엔 모든 것을 이룬 것처럼 보이지만, 내면 깊은 곳에는 아직 풀리지 않은 유혹과 미지의 에너지가 존재합니다. 지금은 겉보다 본질을 바라보는 시기이며, 직관을 따르는 것이 열쇠가 됩니다.","forward, forward, forward"
"The Hanged Man, The Emperor, The Star","지금은 멈추고 재정립해야 할 시기입니다. 통제와 질서를 추구하면서도, 마음 한편에는 희망을 잃지 마세요. 인내는 곧 미래를 위한 발판이 됩니다.","forward, forward, forward"
"The Tower, Temperance, The Fool","갑작스러운 변화나 붕괴가 찾아올 수 있지만, 이것은 균형을 되찾기 위한 우주의 개입일 수 있습니다. 혼란 속에서도 새로운 시작의 기운이 피어나며, 가벼운 발걸음으로 다시 일어설 수 있을 것입니다.","forward, forward, forward"
"Justice, The Moon, The Wheel of Fortune","당신은 진실과 정의를 추구하고 있지만, 그 과정에서 감정과 직관의 혼란이 섞여있습니다. 운명의 흐름을 억지로 바꾸려 하지 말고, 조용히 중심을 지켜보세요. 결국 바퀴는 당신의 방향으로 돌아올 것입니다.","forward, forward, forward"
"The Lovers, The Hermit, The Tower","관계 속에서 혼자만의 시간이 필요할 수 있습니다. 내면을 바라보는 가운데 충격적인 깨달음이 찾아올 수 있으나, 그것은 오래된 틀을 무너뜨리고 진정한 연결로 향하게 해줄 것입니다.","forward, forward, forward"
"The Chariot, The World, Judgment","목표를 향해 달려온 여정이 마무리에 이르렀고, 이제는 그 결과를 받아들여야 할 때입니다. 당신이 지나온 길은 평가받게 되며, 새로운 단계로 도약할 수 있는 문이 열리고 있습니다. 지금이 바로 결단의 순간입니다.","forward, forward, forward"
"Justice, The Star, The Empress","당신은 정의롭고 진실된 마음으로 미래를 바라보고 있습니다. 희망을 품되 현실을 무시하지 말고, 내면의 균형을 통해 진정한 풍요를 이루게 될 것입니다. 자연스러운 흐름 속에서 원하는 결과가 열릴 것입니다.","forward, forward, forward"
"The High Priestess, The Hermit, Wheel of Fortune","지금은 침묵과 고요 속에서 진실을 들여다볼 시간입니다. 운명의 수레바퀴가 돌고 있지만, 당신의 직관과 지혜는 중심을 잃지 않게 해줍니다. 깊은 내면의 통찰이 행운을 이끌 열쇠가 됩니다.","forward, forward, forward"
"The Devil, Death, The Fool","묶여 있던 집착과 오래된 관계에서 벗어날 시간이 왔습니다. 고통스럽지만 과감한 종료는 새로운 시작으로 이어지며, 예상치 못한 가능성이 열릴 것입니다. 자유를 선택할 때 진정한 성장이 시작됩니다.","forward, forward, forward"
"The Magician, Judgment, Strength","당신의 재능과 의지는 지금 중대한 시험대에 올라 있습니다. 과거의 실수나 성과는 다시 평가받을 것이며, 내면의 힘으로 그 모든 것을 감당해낼 수 있습니다. 지금은 당신의 가능성을 믿을 때입니다.","forward, forward, forward"
"High Priestess, Death, Devil"," ""미지의 영역에 대한 깊은 이해가 찾아오고 오래된 패턴이나 집착에서 벗어날 기회입니다. 부정적인 영향력으로부터 벗어나 새로운 시작을 맞이할 수 있습니다.""","forward, forward, reversed"
"The Lovers, Wheel of Fortune, Chariot"," ""관계에서의 갈등이나 불운이 당신의 진전을 방해하고 있습니다. 의도치 않은 방향으로 흘러가는 상황 속에서 좌절을 겪을 수 있으니 신중한 접근이 필요합니다.""","reversed, reversed, reversed"
"Strength, Emperor, Hermit"," ""권력의 남용이나 약함으로 인해 혼란스러운 시기를 겪을 수 있습니다. 외부적인 힘보다는 내면의 지혜를 찾아 고독 속에서 답을 구하는 것이 중요합니다.""","reversed, reversed, forward"
"The Fool, High Priestess, Devil"," ""경솔함이나 무관심으로 인해 숨겨진 진실을 놓치고 잘못된 길로 빠질 위험이 있습니다. 유혹이나 속박에 주의하며 정신적인 혼란을 피해야 합니다.","reversed, reversed, forward"
